Date,Open,Close,High,Low,Volume
2019-07-24,2998.77,3019.56,3019.59,2996.82, 0 
2019-07-25,3016.26,3003.67,3016.31,2997.24, 0 
2019-07-26,3013.25,3025.86,3027.98,3012.59, 0 
2019-07-29,3024.47,3020.97,3025.61,3014.3, 0 
2019-07-30,3007.66,3013.18,3017.19,3000.94, 0 
2019-07-31,3016.22,2980.38,3017.4,2958.08, 0 
2019-08-01,2980.32,2953.56,3013.59,2945.23, 0 
2019-08-02,2943.9,2932.05,2945.5,2914.11, 0 
2019-08-05,2898.07,2844.74,2898.07,2822.12, 0 
2019-08-06,2861.18,2881.77,2884.4,2847.42, 0 
2019-08-07,2858.65,2883.98,2892.17,2825.71, 0 
2019-08-08,2896.21,2938.09,2938.72,2894.47, 0 
2019-08-09,2930.51,2918.65,2935.75,2900.15, 0 
2019-08-12,2907.07,2883.09,2907.58,2873.14, 0 
2019-08-13,2880.72,2926.32,2943.31,2877.05, 0 
2019-08-14,2894.15,2840.6,2894.15,2839.64, 0 
2019-08-15,2846.2,2847.6,2856.67,2825.51, 0 
2019-08-16,2864.74,2888.68,2893.63,2864.74, 0 
2019-08-19,2913.48,2923.65,2931,2913.48, 0 
2019-08-20,2919.01,2900.51,2923.63,2899.6, 0 
2019-08-21,2922.04,2924.43,2928.73,2917.91, 0 
2019-08-22,2930.94,2922.95,2939.08,2904.51, 0 
2019-08-23,2911.07,2847.11,2927.01,2834.97, 0 
2019-08-26,2866.7,2878.38,2879.27,2856, 0 
2019-08-27,2893.14,2869.16,2898.79,2860.59, 0 
2019-08-28,2861.28,2887.94,2890.03,2853.05, 0 
2019-08-29,2910.37,2924.58,2930.5,2905.67, 0 
2019-08-30,2937.09,2926.46,2940.43,2913.32, 0 
2019-09-03,2909.01,2906.27,2914.39,2891.85, 0 
2019-09-04,2924.67,2937.78,2938.84,2921.86, 0 
2019-09-05,2960.6,2976,2985.86,2960.6, 0 
2019-09-06,2980.33,2978.71,2985.03,2972.51, 0 
2019-09-09,2988.43,2978.43,2989.43,2969.39, 0 
2019-09-10,2971.01,2979.39,2979.39,2957.01, 0 
2019-09-11,2981.41,3000.93,3000.93,2975.31, 0 
2019-09-12,3009.08,3009.57,3020.74,3000.92, 0 
2019-09-13,3012.21,3007.39,3017.33,3002.9, 0 
2019-09-16,2996.41,2997.96,3002.19,2990.67, 0 
2019-09-17,2995.67,3005.7,3006.21,2993.73, 0 
2019-09-18,3001.5,3006.73,3007.83,2978.57, 0 
2019-09-19,3010.36,3006.79,3021.99,3003.16, 0 
2019-09-20,3008.42,2992.07,3016.37,2984.68, 0 
2019-09-23,2983.5,2991.78,2999.15,2982.23, 0 
2019-09-24,3002.43,2966.6,3007.98,2957.73, 0 
2019-09-25,2968.35,2984.87,2989.82,2952.86, 0 
2019-09-26,2985.73,2977.62,2987.28,2963.71, 0 
2019-09-27,2985.47,2961.79,2987.31,2945.53, 0 
2019-09-30,2967.07,2976.74,2983.85,2967.07, 0 
2019-10-01,2983.69,2940.25,2992.53,2938.7, 0 
2019-10-02,2924.78,2887.61,2924.78,2874.93, 0 
2019-10-03,2885.38,2910.63,2911.13,2855.94, 0 
2019-10-04,2918.56,2952.01,2953.74,2918.56, 0 
2019-10-07,2944.23,2938.79,2959.75,2935.68, 0 
2019-10-08,2920.4,2893.06,2925.47,2892.66, 0 
2019-10-09,2911.1,2919.4,2929.32,2907.41, 0 
2019-10-10,2918.55,2938.13,2948.46,2917.12, 0 
2019-10-11,2963.07,2970.27,2993.28,2963.07, 0 
2019-10-14,2965.81,2966.15,2972.84,2962.94, 0 
2019-10-15,2973.61,2995.68,3003.28,2973.61, 0 
2019-10-16,2989.68,2989.69,2997.54,2985.2, 0 
2019-10-17,3000.77,2997.95,3008.29,2991.79, 0 
2019-10-18,2996.84,2986.2,3000,2976.31, 0 
2019-10-21,2996.48,3006.72,3007.33,2995.35, 0 
2019-10-22,3010.73,2995.99,3014.57,2995.04, 0 
2019-10-23,2994.01,3004.52,3004.78,2991.21, 0 
2019-10-24,3014.78,3010.29,3016.07,3000.42, 0 
2019-10-25,3003.32,3022.55,3027.39,3001.94, 0 
2019-10-28,3032.12,3039.42,3044.08,3032.12, 0 
2019-10-29,3035.39,3036.89,3047.87,3034.81, 0 
2019-10-30,3039.74,3046.77,3050.1,3025.96, 0 
2019-10-31,3046.9,3037.56,3046.9,3023.19, 0 
2019-11-01,3050.72,3066.91,3066.95,3050.72, 0 
2019-11-04,3078.96,3078.27,3085.2,3074.87, 0 
2019-11-05,3080.8,3074.62,3083.95,3072.15, 0 
2019-11-06,3075.1,3076.78,3078.34,3065.89, 0 
2019-11-07,3087.02,3085.18,3097.77,3080.23, 0 
2019-11-08,3081.25,3093.08,3093.09,3073.58, 0 
2019-11-11,3080.33,3087.01,3088.33,3075.82, 0 
2019-11-12,3089.28,3091.84,3102.61,3084.73, 0 
2019-11-13,3084.18,3094.04,3098.06,3078.8, 0 
2019-11-14,3090.75,3096.63,3098.2,3083.26, 0 
2019-11-15,3107.92,3120.46,3120.46,3104.6, 0 
2019-11-18,3117.91,3122.03,3124.17,3112.06, 0 
2019-11-19,3127.45,3120.18,3127.64,3113.47, 0 
2019-11-20,3114.66,3108.46,3118.97,3091.41, 0 
2019-11-21,3108.49,3103.54,3110.11,3094.55, 0 
2019-11-22,3111.41,3110.29,3112.87,3099.26, 0 
2019-11-25,3117.44,3133.64,3133.83,3117.44, 0 
2019-11-26,3134.85,3140.52,3142.69,3131, 0 
2019-11-27,3145.49,3153.63,3154.26,3143.41, 0 
2019-11-29,3147.18,3140.98,3150.3,3139.34, 0 
2019-12-02,3143.85,3113.87,3144.31,3110.78, 0 
2019-12-03,3087.41,3093.2,3094.97,3070.33, 0 
2019-12-04,3103.5,3112.76,3119.38,3102.53, 0 
2019-12-05,3119.21,3117.43,3119.45,3103.76, 0 
2019-12-06,3134.62,3145.91,3150.6,3134.62, 0 
2019-12-09,3141.86,3135.96,3148.87,3135.46, 0 
2019-12-10,3135.36,3132.52,3142.12,3126.09, 0 
2019-12-11,3135.75,3141.63,3143.98,3133.21, 0 
2019-12-12,3141.23,3168.57,3176.28,3138.47, 0 
2019-12-13,3166.65,3168.8,3182.68,3156.51, 0 
2019-12-16,3183.63,3191.45,3197.71,3183.63, 0 
2019-12-17,3195.4,3192.52,3198.22,3191.03, 0 
2019-12-18,3195.21,3191.14,3198.48,3191.14, 0 
2019-12-19,3192.32,3205.37,3205.48,3192.32, 0 
2019-12-20,3223.33,3221.22,3225.65,3216.03, 0 
2019-12-23,3226.05,3224.01,3227.78,3222.3, 0 
2019-12-24,3225.45,3223.38,3226.43,3220.51, 0 
2019-12-26,3227.2,3239.91,3240.08,3227.2, 0 
2019-12-27,3247.23,3240.02,3247.93,3234.37, 0 
2019-12-30,3240.09,3221.29,3240.92,3216.57, 0 
2019-12-31,3215.18,3230.78,3231.72,3212.03, 0 
2020-01-02,3244.67,3257.85,3258.14,3235.53, 0 
2020-01-03,3226.36,3234.85,3246.15,3222.34, 0 
2020-01-06,3217.55,3246.28,3246.84,3214.64, 0 
2020-01-07,3241.86,3237.18,3244.91,3232.43, 0 
2020-01-08,3238.59,3253.05,3267.07,3236.67, 0 
2020-01-09,3266.03,3274.7,3275.58,3263.67, 0 
2020-01-10,3281.81,3265.35,3282.99,3260.86, 0 
2020-01-13,3271.13,3288.13,3288.13,3268.43, 0 
2020-01-14,3285.35,3283.15,3294.25,3277.19, 0 
2020-01-15,3282.27,3289.29,3298.66,3280.69, 0 
2020-01-16,3302.97,3316.81,3317.11,3302.82, 0 
2020-01-17,3323.66,3329.62,3329.88,3318.86, 0 
2020-01-21,3321.03,3320.79,3329.79,3316.61, 0 
2020-01-22,3330.02,3321.75,3337.77,3320.04, 0 
2020-01-23,3315.77,3325.54,3326.88,3301.87, 0 
2020-01-24,3333.1,3295.47,3333.18,3281.53, 0 
2020-01-27,3247.16,3243.63,3258.85,3234.5, 0 
2020-01-28,3255.35,3276.24,3285.78,3253.22, 0 
2020-01-29,3289.46,3273.4,3293.47,3271.89, 0 
2020-01-30,3256.45,3283.66,3285.91,3242.8, 0 
2020-01-31,3282.33,3225.52,3282.33,3214.68, 0 
2020-02-03,3235.66,3248.92,3268.44,3235.66, 0 
2020-02-04,3280.61,3297.59,3306.92,3280.61, 0 
2020-02-05,3324.91,3334.69,3337.58,3313.75, 0 
2020-02-06,3344.92,3345.78,3347.96,3334.39, 0 
2020-02-07,3335.54,3327.71,3341.42,3322.12, 0 
2020-02-10,3318.28,3352.09,3352.26,3317.77, 0 
2020-02-11,3365.87,3357.75,3375.63,3352.72, 0 
2020-02-12,3370.5,3379.45,3381.47,3369.72, 0 
2020-02-13,3365.9,3373.94,3385.09,3360.52, 0 
2020-02-14,3378.08,3380.16,3380.69,3366.15, 0 
2020-02-18,3369.04,3370.29,3375.01,3355.61, 0 
2020-02-19,3380.39,3386.15,3393.52,3378.83, 0 
2020-02-20,3380.45,3373.23,3389.15,3341.02, 0 
2020-02-21,3360.5,3337.75,3360.76,3328.45, 0 
2020-02-24,3257.61,3225.89,3259.81,3214.65, 0 
2020-02-25,3238.94,3128.21,3246.99,3118.77, 0 
2020-02-26,3139.9,3116.39,3182.51,3108.99, 0 
2020-02-27,3062.54,2978.76,3097.07,2977.39, 0 
2020-02-28,2916.9,2954.22,2959.72,2855.84, 0 
2020-03-02,2974.28,3090.23,3090.96,2945.19, 0 
2020-03-03,3096.46,3003.37,3136.72,2976.63, 0 
2020-03-04,3045.75,3130.12,3130.97,3034.38, 0 
2020-03-05,3075.7,3023.94,3083.04,2999.83, 0 
2020-03-06,2954.2,2972.37,2985.93,2901.54, 0 
2020-03-09,2863.89,2746.56,2863.89,2734.43, 0 
2020-03-10,2813.48,2882.23,2882.59,2734, 0 
2020-03-11,2825.6,2741.38,2825.6,2707.22, 0 
2020-03-12,2630.86,2480.64,2660.95,2478.86, 0 
2020-03-13,2569.99,2711.02,2711.33,2492.37, 0 
2020-03-16,2508.59,2386.13,2562.98,2380.94, 0 
2020-03-17,2425.66,2529.19,2553.93,2367.04, 0 
2020-03-18,2436.5,2398.1,2453.57,2280.52, 0 
2020-03-19,2393.48,2409.39,2466.97,2319.78, 0 
2020-03-20,2431.94,2304.92,2453.01,2295.56, 0 
2020-03-23,2290.71,2237.4,2300.73,2191.86, 0 
2020-03-24,2344.44,2447.33,2449.71,2344.44, 0 
2020-03-25,2457.77,2475.56,2571.42,2407.53, 0 
2020-03-26,2501.29,2630.07,2637.01,2500.72, 0 
2020-03-27,2555.87,2541.47,2615.91,2520.02, 0 
2020-03-30,2558.98,2626.65,2631.8,2545.28, 0 
2020-03-31,2614.69,2584.59,2641.39,2571.15, 0 
2020-04-01,2498.08,2470.5,2522.75,2447.49, 0 
2020-04-02,2458.54,2526.9,2533.22,2455.79, 0 
2020-04-03,2514.92,2488.65,2538.18,2459.96, 0 
2020-04-06,2578.28,2663.68,2676.85,2574.57, 0 
2020-04-07,2738.65,2659.41,2756.89,2657.67, 0 
2020-04-08,2685,2749.98,2760.75,2663.3, 0 
2020-04-09,2776.99,2789.82,2818.57,2762.36, 0 
2020-04-13,2782.46,2761.63,2782.46,2721.17, 0 
2020-04-14,2805.1,2846.06,2851.85,2805.1, 0 
2020-04-15,2795.64,2783.36,2801.88,2761.54, 0 
2020-04-16,2799.34,2799.55,2806.51,2764.32, 0 
2020-04-17,2842.43,2874.56,2879.22,2830.88, 0 
2020-04-20,2845.62,2823.16,2868.98,2820.43, 0 
2020-04-21,2784.81,2736.56,2785.54,2727.1, 0 
2020-04-22,2787.89,2799.31,2815.1,2775.95, 0 
2020-04-23,2810.42,2797.8,2844.9,2794.26, 0 
2020-04-24,2812.64,2836.74,2842.71,2791.76, 0 
2020-04-27,2854.65,2878.48,2887.72,2852.89, 0 
2020-04-28,2909.96,2863.39,2921.15,2860.71, 0 
2020-04-29,2918.46,2939.51,2954.86,2912.16, 0 
2020-04-30,2930.91,2912.43,2930.91,2892.47, 0 
2020-05-01,2869.09,2830.71,2869.09,2821.61, 0 
2020-05-04,2815.01,2842.74,2844.24,2797.85, 0 
2020-05-05,2868.88,2868.44,2898.23,2863.55, 0 
2020-05-06,2883.14,2848.42,2891.11,2847.65, 0 
2020-05-07,2878.26,2881.19,2901.92,2876.48, 0 
2020-05-08,2908.83,2929.8,2932.16,2902.88, 0 
2020-05-11,2915.46,2930.32,2944.25,2903.44, 0 
2020-05-12,2939.5,2870.12,2945.82,2869.59, 0 
2020-05-13,2865.86,2820,2874.14,2793.15, 0 
2020-05-14,2794.54,2852.5,2852.8,2766.64, 0 
2020-05-15,2829.95,2863.7,2865.01,2816.78, 0 
2020-05-18,2913.86,2953.91,2968.09,2913.86, 0 
2020-05-19,2948.59,2922.94,2964.21,2922.35, 0 
2020-05-20,2953.63,2971.61,2980.29,2953.63, 0 
2020-05-21,2969.95,2948.51,2978.5,2938.57, 0 
2020-05-22,2948.05,2955.45,2956.76,2933.59, 0 
2020-05-26,3004.08,2991.77,3021.72,2988.17, 0 
2020-05-27,3015.65,3036.13,3036.25,2969.75, 0 
2020-05-28,3046.61,3029.73,3068.67,3023.4, 0 
2020-05-29,3025.17,3044.31,3049.17,2998.61, 0 
2020-06-01,3038.78,3055.73,3062.18,3031.54, 0 
2020-06-02,3064.78,3080.82,3081.07,3051.64, 0 
2020-06-03,3098.9,3122.87,3130.94,3098.9, 0 
2020-06-04,3111.56,3112.35,3128.91,3090.41, 0 
2020-06-05,3163.84,3193.93,3211.72,3163.84, 0 
2020-06-08,3199.92,3232.39,3233.13,3196, 0 
2020-06-09,3213.32,3207.18,3222.71,3193.11, 0 
2020-06-10,3213.42,3190.14,3223.27,3181.49, 0 
2020-06-11,3123.53,3002.1,3123.53,2999.49, 0 
2020-06-12,3071.04,3041.31,3088.42,2984.47, 0 
2020-06-15,2993.76,3066.59,3079.76,2965.66, 0 
2020-06-16,3131,3124.74,3153.45,3076.06, 0 
2020-06-17,3136.13,3113.49,3141.16,3108.03, 0 
2020-06-18,3101.64,3115.34,3120,3093.51, 0 
2020-06-19,3140.29,3097.74,3155.53,3083.11, 0 
2020-06-22,3094.42,3117.86,3120.92,3079.39, 0 
2020-06-23,3138.7,3131.29,3154.9,3127.12, 0 
2020-06-24,3114.4,3050.33,3115.01,3032.13, 0 
2020-06-25,3046.6,3083.76,3086.25,3024.01, 0 
2020-06-26,3073.2,3009.05,3073.73,3004.63, 0 
2020-06-29,3018.59,3053.24,3053.89,2999.74, 0 
2020-06-30,3050.2,3100.29,3111.51,3047.83, 0 
2020-07-01,3105.92,3115.86,3128.44,3101.17, 0 
2020-07-02,3143.64,3130.01,3165.81,3124.52, 0 
2020-07-06,3155.29,3179.72,3182.59,3155.29, 0 
2020-07-07,3166.44,3145.32,3184.15,3142.93, 0 
2020-07-08,3153.07,3169.94,3171.8,3136.53, 0 
2020-07-09,3176.17,3152.05,3179.78,3115.7, 0 
2020-07-10,3152.47,3185.04,3186.82,3136.22, 0 
2020-07-13,3205.08,3155.22,3235.32,3149.43, 0 
2020-07-14,3141.11,3197.52,3200.95,3127.66, 0 
2020-07-15,3225.98,3226.56,3238.28,3200.76, 0 
2020-07-16,3208.36,3215.57,3220.39,3198.59, 0 
2020-07-17,3224.21,3224.73,3233.52,3205.65, 0 
2020-07-20,3224.29,3251.84,3258.61,3215.16, 0 
2020-07-21,3268.52,3257.3,3277.29,3247.77, 0 
2020-07-22,3254.86,3276.02,3279.32,3253.1, 0 
2020-07-23,3271.64,3235.66,3279.99,3222.66, 0 
2020-07-24,3218.58,3215.63,3227.26,3200.05, 0 
2020-07-27,3219.84,3239.41,3241.43,3214.25, 0 
2020-07-28,3234.27,3218.44,3243.72,3216.17, 0 
2020-07-29,3227.22,3258.44,3264.74,3227.22, 0 
2020-07-30,3231.76,3246.22,3250.92,3204.13, 0 
2020-07-31,3270.45,3271.12,3272.17,3220.26, 0 
2020-08-03,3288.26,3294.61,3302.73,3284.53, 0 
2020-08-04,3289.92,3306.51,3306.84,3286.37, 0 
2020-08-05,3317.37,3327.77,3330.77,3317.37, 0 
2020-08-06,3323.17,3349.16,3351.03,3318.14, 0 
2020-08-07,3340.05,3351.28,3352.54,3328.72, 0 
2020-08-10,3356.04,3360.47,3363.29,3335.44, 0 
2020-08-11,3370.34,3333.69,3381.01,3326.44, 0 
2020-08-12,3355.46,3380.35,3387.89,3355.46, 0 
2020-08-13,3372.95,3373.43,3387.24,3363.35, 0 
2020-08-14,3368.66,3372.85,3378.51,3361.64, 0 
2020-08-17,3380.86,3381.99,3387.59,3379.22, 0 
2020-08-18,3387.04,3389.78,3395.06,3370.15, 0 
2020-08-19,3392.51,3374.85,3399.54,3369.66, 0 
2020-08-20,3360.48,3385.51,3390.8,3354.69, 0 
2020-08-21,3386.01,3397.16,3399.96,3379.31, 0 
2020-08-24,3418.09,3431.28,3432.09,3413.13, 0 
2020-08-25,3435.95,3443.62,3444.21,3425.84, 0 
2020-08-26,3449.97,3478.73,3481.07,3444.15, 0 
2020-08-27,3485.14,3484.55,3501.38,3468.35, 0 
2020-08-28,3494.69,3508.01,3509.23,3484.32, 0 
2020-08-31,3509.73,3500.31,3514.77,3493.25, 0 
2020-09-01,3507.44,3526.65,3528.03,3494.6, 0 
2020-09-02,3543.76,3580.84,3588.11,3535.23, 0 
2020-09-03,3564.74,3455.06,3564.85,3427.41, 0 
2020-09-04,3453.6,3426.96,3479.15,3349.63, 0 
2020-09-08,3371.88,3331.84,3379.97,3329.27, 0 
2020-09-09,3369.82,3398.96,3424.77,3366.84, 0 
2020-09-10,3412.56,3339.19,3425.55,3329.25, 0 
2020-09-11,3352.7,3340.97,3368.95,3310.47, 0 
2020-09-14,3363.56,3383.54,3402.93,3363.56, 0 
2020-09-15,3407.73,3401.2,3419.48,3389.25, 0 
2020-09-16,3411.23,3385.49,3428.92,3384.45, 0 
2020-09-17,3346.86,3357.01,3375.17,3328.82, 0 
2020-09-18,3357.38,3319.47,3362.27,3292.4, 0 
2020-09-21,3285.57,3281.06,3285.57,3229.1, 0 
2020-09-22,3295.75,3315.57,3320.31,3270.95, 0 
2020-09-23,3320.11,3236.92,3323.35,3232.57, 0 
2020-09-24,3226.14,3246.59,3278.7,3209.45, 0 
2020-09-25,3236.66,3298.46,3306.88,3228.44, 0 
2020-09-28,3333.9,3351.6,3360.74,3332.91, 0 
2020-09-29,3350.92,3335.47,3357.92,3327.54, 0 
2020-09-30,3341.21,3363,3393.56,3340.47, 0 
2020-10-01,3385.87,3380.8,3397.18,3361.39, 0 
2020-10-02,3338.94,3348.44,3369.1,3323.69, 0 
2020-10-05,3367.27,3408.63,3409.57,3367.27, 0 
2020-10-06,3408.74,3360.95,3431.56,3354.54, 0 
2020-10-07,3384.56,3419.45,3426.26,3384.56, 0 
2020-10-08,3434.28,3446.83,3447.28,3428.15, 0 
2020-10-09,3459.67,3477.13,3482.34,3458.07, 0 
2020-10-12,3500.02,3534.22,3549.85,3499.61, 0 
2020-10-13,3534.01,3511.93,3534.01,3500.86, 0 
2020-10-14,3515.47,3488.67,3527.94,3480.55, 0 
2020-10-15,3453.72,3483.34,3489.08,3440.89, 0 
2020-10-16,3493.5,3483.81,3515.76,3480.45, 0 
2020-10-19,3493.66,3426.92,3502.42,3419.93, 0 
2020-10-20,3439.38,3443.12,3476.93,3435.65, 0 
2020-10-21,3439.91,3435.56,3464.86,3433.06, 0 
2020-10-22,3438.5,3453.49,3460.53,3415.34, 0 
2020-10-23,3464.9,3465.39,3466.46,3440.45, 0 
2020-10-26,3441.42,3400.97,3441.42,3364.86, 0 
2020-10-27,3403.15,3390.68,3409.51,3388.71, 0 
2020-10-28,3342.48,3271.03,3342.48,3268.89, 0 
2020-10-29,3277.17,3310.11,3341.05,3259.82, 0 
2020-10-30,3293.59,3269.96,3304.93,3233.94, 0 
2020-11-02,3296.2,3310.24,3330.14,3279.74, 0 
2020-11-03,3336.25,3369.16,3389.49,3336.25, 0 
2020-11-04,3406.46,3443.44,3486.25,3405.17, 0 
2020-11-05,3485.74,3510.45,3529.05,3485.74, 0 
2020-11-06,3508.34,3509.44,3521.58,3484.34, 0 
2020-11-09,3583.04,3550.5,3645.99,3547.48, 0 
2020-11-10,3543.26,3545.53,3557.22,3511.91, 0 
2020-11-11,3563.22,3572.66,3581.16,3557, 0 
2020-11-12,3562.67,3537.01,3569.02,3518.58, 0 
2020-11-13,3552.57,3585.15,3593.66,3552.57, 0 
2020-11-16,3600.16,3626.91,3628.51,3600.16, 0 
2020-11-17,3610.31,3609.53,3623.11,3588.68, 0 
2020-11-18,3612.09,3567.79,3619.09,3567.33, 0 
2020-11-19,3559.41,3581.87,3585.22,3543.84, 0 
2020-11-20,3579.31,3557.54,3581.23,3556.85, 0 
2020-11-23,3566.82,3577.59,3589.81,3552.77, 0 
2020-11-24,3594.52,3635.41,3642.31,3594.52, 0 
2020-11-25,3635.5,3629.65,3635.5,3617.76, 0 
2020-11-27,3638.55,3638.35,3644.31,3629.33, 0 
2020-11-30,3634.18,3621.63,3634.18,3594.39, 0 
2020-12-01,3645.87,3662.45,3678.45,3645.87, 0 
2020-12-02,3653.78,3669.01,3670.96,3644.84, 0 
2020-12-03,3668.28,3666.72,3682.73,3657.17, 0 
2020-12-04,3670.94,3699.12,3699.2,3670.94, 0 
2020-12-07,3694.73,3691.96,3697.41,3678.88, 0 
2020-12-08,3683.05,3702.25,3708.45,3678.83, 0 
2020-12-09,3705.98,3672.82,3712.39,3660.54, 0 
2020-12-10,3659.13,3668.1,3678.49,3645.18, 0 
2020-12-11,3656.08,3663.46,3665.91,3633.4, 0 
2020-12-14,3675.27,3647.49,3697.61,3645.84, 0 
2020-12-15,3666.41,3694.62,3695.29,3659.62, 0 
2020-12-16,3696.25,3701.17,3711.27,3688.57, 0 
2020-12-17,3713.65,3722.48,3725.12,3710.87, 0 
2020-12-18,3722.39,3709.41,3726.7,3685.84, 0 
2020-12-21,3684.28,3694.92,3702.9,3636.48, 0 
2020-12-22,3698.08,3687.26,3698.26,3676.16, 0 
2020-12-23,3693.42,3690.01,3711.24,3689.28, 0 
2020-12-24,3694.03,3703.06,3703.82,3689.32, 0 
2020-12-28,3723.03,3735.36,3740.51,3723.03, 0 
2020-12-29,3750.01,3727.04,3756.12,3723.31, 0 
2020-12-30,3736.19,3732.04,3744.63,3730.21, 0 
2020-12-31,3733.27,3756.07,3760.2,3726.88, 0 
2021-01-04,3764.61,3700.65,3769.99,3662.71, 0 
2021-01-05,3698.02,3726.86,3737.83,3695.07, 0 
2021-01-06,3712.2,3748.14,3783.04,3705.34, 0 
2021-01-07,3764.71,3803.79,3811.55,3764.71, 0 
2021-01-08,3815.05,3824.68,3826.69,3783.6, 0 
2021-01-11,3803.14,3799.61,3817.86,3789.02, 0 
2021-01-12,3801.62,3801.19,3810.78,3776.51, 0 
2021-01-13,3802.23,3809.84,3820.96,3791.5, 0 
2021-01-14,3814.98,3795.54,3823.6,3792.86, 0 
2021-01-15,3788.73,3768.25,3788.73,3749.62, 0 
2021-01-19,3781.88,3798.91,3804.53,3780.37, 0 
2021-01-20,3816.22,3851.85,3859.75,3816.22, 0 
2021-01-21,3857.46,3853.07,3861.45,3845.05, 0 
2021-01-22,3844.24,3841.47,3852.31,3830.41, 0 
2021-01-25,3851.68,3855.36,3859.23,3797.16, 0 
2021-01-26,3862.96,3849.62,3870.9,3847.78, 0 
2021-01-27,3836.83,3750.77,3836.83,3732.48, 0 
2021-01-28,3755.75,3787.38,3830.5,3755.75, 0 
2021-01-29,3778.05,3714.24,3778.05,3694.12, 0 
2021-02-01,3731.17,3773.86,3784.32,3725.62, 0 
2021-02-02,3791.84,3826.31,3843.09,3791.84, 0 
2021-02-03,3840.27,3830.17,3847.51,3816.68, 0 
2021-02-04,3836.66,3871.74,3872.42,3836.66, 0 
2021-02-05,3878.3,3886.83,3894.56,3874.93, 0 
2021-02-08,3892.59,3915.59,3915.77,3892.59, 0 
2021-02-09,3910.49,3911.23,3918.35,3902.64, 0 
2021-02-10,3920.78,3909.88,3931.5,3884.94, 0 
2021-02-11,3916.4,3916.38,3925.99,3890.39, 0 
2021-02-12,3911.65,3934.83,3937.23,3905.78, 0 
2021-02-16,3939.61,3932.59,3950.43,3923.85, 0 
2021-02-17,3918.5,3931.33,3933.61,3900.43, 0 
2021-02-18,3915.86,3913.97,3921.98,3885.03, 0 
2021-02-19,3921.16,3906.71,3930.41,3903.07, 0 
2021-02-22,3885.55,3876.5,3902.92,3874.71, 0 
2021-02-23,3857.07,3881.37,3895.98,3805.59, 0 
2021-02-24,3873.71,3925.43,3928.65,3859.6, 0 
2021-02-25,3915.8,3829.34,3925.02,3814.04, 0 
2021-02-26,3839.66,3811.15,3861.08,3789.54, 0 
2021-03-01,3842.51,3901.82,3914.5,3842.51, 0 
2021-03-02,3903.64,3870.29,3906.41,3868.57, 0 
2021-03-03,3863.99,3819.72,3874.47,3818.86, 0 
2021-03-04,3818.53,3768.47,3843.67,3723.34, 0 
2021-03-05,3793.58,3841.94,3851.69,3730.19, 0 
2021-03-08,3844.39,3821.35,3881.06,3819.25, 0 
2021-03-09,3851.93,3875.44,3903.76,3851.93, 0 
2021-03-10,3891.99,3898.81,3917.35,3885.73, 0 
2021-03-11,3915.54,3939.34,3960.27,3915.54, 0 
2021-03-12,3924.52,3943.34,3944.99,3915.21, 0 
2021-03-15,3942.96,3968.94,3970.08,3923.54, 0 
2021-03-16,3973.59,3962.71,3981.04,3953.44, 0 
2021-03-17,3949.57,3974.12,3983.87,3935.74, 0 
2021-03-18,3953.5,3915.46,3969.62,3910.86, 0 
2021-03-19,3913.14,3913.1,3930.12,3886.75, 0 
2021-03-22,3916.48,3940.59,3955.31,3914.16, 0 
2021-03-23,3937.6,3910.52,3949.13,3901.57, 0 
2021-03-24,3919.93,3889.14,3942.08,3889.07, 0 
2021-03-25,3879.34,3909.52,3919.54,3853.5, 0 
2021-03-26,3917.12,3974.54,3978.19,3917.12, 0 
2021-03-29,3969.31,3971.09,3981.83,3943.25, 0 
2021-03-30,3963.34,3958.55,3968.01,3944.35, 0 
2021-03-31,3967.25,3972.89,3994.41,3966.98, 0 
2021-04-01,3992.78,4019.87,4020.63,3992.78, 0 
2021-04-05,4034.44,4077.91,4083.42,4034.44, 0 
2021-04-06,4075.57,4073.94,4086.23,4068.14, 0 
2021-04-07,4074.29,4079.95,4083.13,4068.31, 0 
2021-04-08,4089.95,4097.17,4098.19,4082.54, 0 
2021-04-09,4096.11,4128.8,4129.48,4095.51, 0 
2021-04-12,4124.71,4127.99,4131.76,4114.82, 0 
2021-04-13,4130.1,4141.59,4148,4124.43, 0 
2021-04-14,4141.58,4124.66,4151.69,4120.87, 0 
2021-04-15,4139.76,4170.42,4173.49,4139.76, 0 
2021-04-16,4174.14,4185.47,4191.31,4170.75, 0 
2021-04-19,4179.8,4163.26,4180.81,4150.47, 0 
2021-04-20,4159.18,4134.94,4159.18,4118.38, 0 
2021-04-21,4128.42,4173.42,4175.02,4126.35, 0 
2021-04-22,4170.46,4134.98,4179.57,4123.69, 0 
2021-04-23,4138.78,4180.17,4194.17,4138.78, 0 
2021-04-26,4185.03,4187.62,4194.19,4182.36, 0 
2021-04-27,4188.25,4186.72,4193.35,4176.22, 0 
2021-04-28,4185.14,4183.18,4201.53,4181.78, 0 
2021-04-29,4206.14,4211.47,4218.78,4176.81, 0 
2021-04-30,4198.1,4181.17,4198.1,4174.85, 0 
2021-05-03,4191.98,4192.66,4209.39,4188.03, 0 
2021-05-04,4179.04,4164.66,4179.04,4128.59, 0 
2021-05-05,4177.06,4167.59,4187.72,4160.94, 0 
2021-05-06,4169.14,4201.62,4202.7,4147.33, 0 
